genre,artist,year,rank,song
dance,Katy Perry,2012,41,The One That Got Away
dance,Katy Perry,2011,75,Teenage Dream
dance,Chris Brown,2008,9,With You
dance,Chris Brown,2008,10,Forever
dance,Chris Brown,2006,16,Run It!
dance,Chris Brown,2008,19,Kiss Kiss
dance,Chris Brown,2011,21,Look At Me Now
dance,Chris Brown,2005,42,Run It!
dance,Chris Brown,2011,49,Yeah 3x
dance,Chris Brown,2012,56,Don't Wake Me Up
dance,Chris Brown,2010,68,Deuces
dance,Chris Brown,2006,69,Gimme That
dance,Chris Brown,2012,84,Turn Up The Music
dance,Chris Brown,2007,93,Kiss Kiss
dance,Pink,2000,16,There You Go
dance,Pink,2002,24,Get the Party Started
dance,Pink,2008,24,So What
dance,Pink,2007,29,U + Ur Hand
dance,Pink,2002,36,Don't Let Me Get Me
dance,Pink,2002,43,Just Like a Pill
dance,Pink,2009,45,So What
dance,Pink,2000,52,Most Girls
dance,Pink,2009,52,Please Don't Leave Me
dance,Pink,2006,96,Stupid Girls
dance,Pink,2001,97,Most Girls
dance,Jennifer Lopez,2001,5,I'm Real
dance,Jennifer Lopez,2011,11,On The Floor
dance,Jennifer Lopez,1999,12,If You Had My Love
dance,Jennifer Lopez,2002,13,Ain't it Funny
dance,Jennifer Lopez,2003,15,All I Have
dance,Jennifer Lopez,2001,26,Love Don't Cost A Thing
dance,Jennifer Lopez,2002,29,I'm Gonna Be Alright
dance,Jennifer Lopez,2003,55,Jenny from the Block
dance,Jennifer Lopez,2001,72,Play
dance,Jennifer Lopez,2005,82,Get Right
dance,Jennifer Lopez,2000,99,Waiting For Tonight
metal,Bon Jovi,1987,10,Livin' On A Prayer
metal,Bon Jovi,1995,17,Always
metal,Bon Jovi,1989,23,I'll Be There For You
metal,Bon Jovi,1986,30,You Give Love A Bad Name
metal,Bon Jovi,1989,39,Born To Be My Baby
metal,Bon Jovi,1988,41,Bad Medicine
metal,Bon Jovi,1993,57,Bed Of Roses
metal,Bon Jovi,2006,71,Who Says you can't Go Home
metal,Bon Jovi,1987,74,Wanted Dead Or Alive
metal,Bon Jovi,1989,82,Lay Your Hands On Me
metal,Bon Jovi,1994,91,Always
metal,Lil Wayne,2008,4,Lollipop
metal,Lil Wayne,2011,23,How To Love
metal,Lil Wayne,2013,39,Love Me
metal,Lil Wayne,2008,40,Got Money
metal,Lil Wayne,2011,41,6 Foot 7 Foot
metal,Lil Wayne,2008,43,A Milli
metal,Lil Wayne,2010,90,Right Above It
metal,Lil Wayne,2008,91,Mrs. Officer
metal,Lil Wayne,2011,95,She Will
metal,Drake,2012,20,The Motto
metal,Drake,2012,23,Take Care
metal,Drake,2013,32,Started From The Bottom
metal,Drake,2013,34,"Hold On, We're Going Home"
metal,Drake,2010,60,Over
metal,Drake,2010,71,Forever
metal,Drake,2009,88,Forever
metal,Def Leppard,1988,19,Pour Some Sugar On Me
metal,Def Leppard,1988,30,Love Bites
metal,Def Leppard,1989,53,Armageddon It
metal,Def Leppard,1992,80,Have You Ever Needed Somone So Bad
metal,Def Leppard,1983,90,Photograph
metal,Def Leppard,1992,98,Let's Get Rocked
metal,Def Leppard,1993,100,Two Steps Behind
metal,Turtles,1967,8,Happy Together
metal,Turtles,1965,73,It Ain't Me Babe
metal,Turtles,1967,78,She'd Rather Be With Me
metal,Turtles,1968,80,Elenore
metal,Turtles,1969,80,You Showed Me
metal,Turtles,1966,87,You Baby
metal,Van Halen,1984,6,Jump
metal,Van Halen,1986,69,Why Can't This Be Love
metal,Van Halen,1988,82,When It's Love
metal,Van Halen,1982,88,(Oh) Pretty Woman
metal,Van Halen,1979,95,Dance The Night Away
metal,Van Halen,1995,100,Can't Stop Lovin' You
metal,Alice Cooper,1977,48,You And Me
metal,Alice Cooper,1975,62,Only Women Bleed
metal,Alice Cooper,1972,75,School's Out
metal,Alice Cooper,1977,82,I Never Cry
metal,Alice Cooper,1979,87,How You Gonna See Me Now
metal,Alice Cooper,1989,91,Poison
metal,Linkin Park,2002,7,In the End
metal,Linkin Park,2004,33,Numb
metal,Linkin Park,2007,38,What I've Done
metal,Linkin Park,2008,55,Shadow Of The Day
metal,Linkin Park,2009,61,New Divide
metal,Linkin Park,2004,79,Breaking the Habit
metal,Guns N' Roses,1988,5,Sweet Child O' Mine
metal,Guns N' Roses,1992,17,November Rain
metal,Guns N' Roses,1989,71,Patience
metal,Guns N' Roses,1989,74,Welcom To The Jungle
metal,Guns N' Roses,1989,86,Paradise City
metal,Aerosmith,1988,34,Angel
metal,Aerosmith,2001,47,Jaded
metal,Aerosmith,1990,61,Janie's Got A Gun
metal,Aerosmith,1989,81,Love In An Elevator
metal,Aerosmith,1993,94,Livin' On The Edge
new wave,Duran Duran,1984,16,The Reflex
new wave,Duran Duran,1983,17,Hungry Like The Wolf
new wave,Duran Duran,1987,25,Notorious
new wave,Duran Duran,1993,34,Ordinary World
new wave,Duran Duran,1985,35,A View To A Kill
new wave,Duran Duran,1985,36,The Wild Boys
new wave,Duran Duran,1993,41,Come Undone
new wave,Duran Duran,1984,43,Union Of The Snake
new wave,Duran Duran,1983,55,Is There Something I Should Know
new wave,Duran Duran,1989,62,I Don't Want Your Love
new wave,Duran Duran,1984,95,New Moon On Monday
new wave,INXS,1988,2,Need You Tonight
new wave,INXS,1988,46,Devil Inside
new wave,INXS,1986,56,What You Need
new wave,INXS,1988,65,New Sensation
new wave,INXS,1991,90,Disappear
new wave,INXS,1988,95,Never Tear Us Apart
new wave,Cyndi Lauper,1984,15,Girls Just Want To Have Fun
new wave,Cyndi Lauper,1984,17,Time After Time
new wave,Cyndi Lauper,1984,34,She Bop
new wave,Cyndi Lauper,1986,41,True Colors
new wave,Cyndi Lauper,1987,61,Change Of Heart
new wave,Cyndi Lauper,1985,65,All Through The Night
new wave,Expose,1988,16,Seasons Change
new wave,Expose,1993,23,I'll Never Get Over You (Getting Over Me)
new wave,Expose,1987,62,Come Go With Me
new wave,Expose,1987,77,Let Me Be The One
new wave,Expose,1987,80,Point Of No Return
new wave,Expose,1989,97,What You Don't Know
new wave,Culture Club,1984,10,Karma Chameleon
new wave,Culture Club,1983,11,Do You Really Want To Hurt Me
new wave,Culture Club,1983,34,Time (Clock Of The Heart)
new wave,Culture Club,1984,63,Miss Me Blind
new wave,Culture Club,1983,77,I'll Tumble 4 Ya
new wave,Culture Club,1984,82,Church Of The Poison Mind
new wave,Wham!,1985,1,Careless Whisper
new wave,Wham!,1985,3,Wake Me Up Before You Go-Go
new wave,Wham!,1985,25,Everything She Wants
new wave,Wham!,1986,63,I'm Your Man
new wave,Wham!,1985,76,Freedom
new wave,Pat Benatar,1985,39,We Belong
new wave,Pat Benatar,1981,46,Hit Me With Your Best Shot
new wave,Pat Benatar,1984,57,Love Is A Battlefield
new wave,Pat Benatar,1980,83,Heartbreaker
new wave,Pat Benatar,1981,83,Treat Me Right
new wave,Laura Branigan,1984,20,Self Control
new wave,Laura Branigan,1983,56,Gloria
new wave,Laura Branigan,1983,59,Solitaire
new wave,Laura Branigan,1983,61,How Am I Supposed To Live Without You
new wave,Laura Branigan,1982,75,Gloria
new wave,Billy Idol,1990,9,Cradle Of Love
new wave,Billy Idol,1987,19,Mony Mony
new wave,Billy Idol,1984,37,Eyes Without A Face
new wave,Billy Idol,1987,64,To Be A Lover
new wave,Billy Idol,1982,90,Hot In The City
new wave,Cars,1982,23,Shake It Up
new wave,Cars,1984,41,Drive
new wave,Cars,1984,65,You Might Think
new wave,Cars,1986,81,Tonight She Comes
new wave,Cars,1984,97,Magic
alternative,Kelly Clarkson,2005,4,Since U Been Gone
alternative,Kelly Clarkson,2005,10,Behind These Hazel Eyes
alternative,Kelly Clarkson,2005,27,Breakaway
alternative,Kelly Clarkson,2006,39,Because of You
alternative,Kelly Clarkson,2003,44,Miss Independent
alternative,Kelly Clarkson,2006,45,Walk Away
alternative,Kelly Clarkson,2013,68,Catch My Breath
alternative,Kelly Clarkson,2007,70,Never Again
alternative,Kelly Clarkson,2005,72,Because of You
alternative,Kelly Clarkson,2004,74,Breakaway
alternative,Kelly Clarkson,2010,74,Already Gone
alternative,Kelly Clarkson,2009,91,I Do Not Hook Up
alternative,Kelly Clarkson,2009,95,Already Gone
alternative,Maroon 5,2004,4,This Love
alternative,Maroon 5,2012,4,Payphone
alternative,Maroon 5,2011,9,Moves Like Jagger
alternative,Maroon 5,2007,13,Makes Me Wonder
alternative,Maroon 5,2012,18,One More Night
alternative,Maroon 5,2004,35,She Will be Loved
alternative,Maroon 5,2013,35,Daylight
alternative,Maroon 5,2012,36,Moves Like Jagger
alternative,Maroon 5,2013,38,One More Night
alternative,Maroon 5,2013,51,Love Somebody
alternative,Maroon 5,2005,61,She Will be Loved
alternative,Maroon 5,2010,62,Misery
alternative,Nickelback,2002,1,How You Remind Me
alternative,Nickelback,2004,17,Someday
alternative,Nickelback,2007,36,Rockstar
alternative,Nickelback,2006,38,Photograph
alternative,Nickelback,2005,43,Photograph
alternative,Nickelback,2006,49,Savin' Me
alternative,Nickelback,2007,50,If Everyone Cared
alternative,Nickelback,2009,51,Gotta Be Somebody
alternative,Nickelback,2006,53,Far Away
alternative,Nickelback,2009,70,If Today Was Your Last Day
alternative,Nickelback,2007,94,Far Away
alternative,Ludacris,2006,35,Money Maker
alternative,Ludacris,2007,35,Runaway Love
alternative,Ludacris,2004,42,Splash Waterfalls
alternative,Ludacris,2004,45,Stand Up
alternative,Ludacris,2003,51,Stand Up
alternative,Ludacris,2005,53,Pimpin' All Over the World
alternative,Ludacris,2002,55,Move Bitch
alternative,Ludacris,2010,56,My Chick Bad
alternative,Ludacris,2002,77,Roll Out (My Business)
alternative,Ludacris,2007,92,Money Maker
alternative,Pink,2002,24,Get the Party Started
alternative,Pink,2008,24,So What
alternative,Pink,2007,29,U + Ur Hand
alternative,Pink,2002,36,Don't Let Me Get Me
alternative,Pink,2009,38,Sober
alternative,Pink,2002,43,Just Like a Pill
alternative,Pink,2009,45,So What
alternative,Pink,2007,69,Who Knew
alternative,Pink,2006,96,Stupid Girls
alternative,Avril Lavigne,2002,11,Complicated
alternative,Avril Lavigne,2007,12,Girlfriend
alternative,Avril Lavigne,2003,18,I'm With You
alternative,Avril Lavigne,2004,54,My Happy Ending
alternative,Avril Lavigne,2011,62,What The Hell
alternative,Avril Lavigne,2007,64,Keep Holding On
alternative,Avril Lavigne,2004,92,Don't Tell Me
alternative,Avril Lavigne,2002,96,Sk8er Boi
alternative,Genesis,1987,47,In Too Deep
alternative,Genesis,1984,52,That's All
alternative,Genesis,1986,54,Invisible Touch
alternative,Genesis,1992,62,Hold On My Heart
alternative,Genesis,1987,68,"Tonight, Tonight, Tonight"
alternative,Genesis,1992,68,No Son Of Nine
alternative,Genesis,1980,71,Misunderstanding
alternative,Genesis,1986,84,Throwing It All Away
alternative,Phil Collins,1984,5,Against All Odds (Take A Look At Me Now)
alternative,Phil Collins,1988,29,A Groovy Kind Of Love
alternative,Phil Collins,1983,37,You Can't Hurry Love
alternative,Phil Collins,1990,53,Do You Remember
alternative,Phil Collins,1990,56,I Wish It Would Rain Down
alternative,Phil Collins,1990,58,Something Happened On The Way To Heaven
alternative,Phil Collins,1994,86,Everyday
alternative,Phil Collins,1986,88,Take Me Home
alternative,Sheryl Crow,2004,28,The First Cut Is The Deepest
alternative,Sheryl Crow,1995,30,Strong Enough
alternative,Sheryl Crow,1994,34,All I Wanna Do
alternative,Sheryl Crow,2002,35,Soak up the Sun
alternative,Sheryl Crow,1997,55,If It Makes You Happy
alternative,Sheryl Crow,1997,60,Everyday Is A Winding Road
alternative,Sheryl Crow,1995,67,All I Wanna Do
alternative,Sheryl Crow,1996,75,If It Makes You Happy
alternative,3 Doors Down,2003,5,When I'm Gone
alternative,3 Doors Down,2000,15,Kryptonite
alternative,3 Doors Down,2004,15,Here Without You
alternative,3 Doors Down,2005,38,Let Me Go
alternative,3 Doors Down,2001,44,Kryptonite
alternative,3 Doors Down,2008,52,It'S Not My Time
alternative,3 Doors Down,2003,62,Here Without You
alternative,3 Doors Down,2001,96,Be Like That
electronic,Madonna,1990,5,Vogue
electronic,Madonna,1994,13,I'll Remember
electronic,Madonna,2000,17,Music
electronic,Madonna,1991,21,Justify My Love
electronic,Madonna,1992,21,This Used To Be My Playground
electronic,Madonna,2008,23,4 Minutes
electronic,Madonna,1987,30,Open Your Heart
electronic,Madonna,1998,32,Frozen
electronic,Madonna,2001,34,Don't Tell Me
electronic,Madonna,1984,35,Borderline
electronic,Madonna,1987,42,Who's That Girl
electronic,Madonna,1987,46,Causing A Commotion
electronic,Madonna,1985,58,Material Girl
electronic,Madonna,1993,66,Deeper And Deeper
electronic,Madonna,1993,67,Rain
electronic,Madonna,1995,71,Secret
electronic,Madonna,1998,75,Ray Of Light
electronic,Madonna,1985,81,Angel
electronic,Madonna,1994,84,Secret
electronic,Madonna,2006,91,Hung Up
electronic,Madonna,1985,98,Dress You Up
electronic,Madonna,1997,99,You Must Love Me
electronic,Britney Spears,2009,27,Circus
electronic,Britney Spears,2011,27,Till The World Ends
electronic,Britney Spears,2009,39,Womanizer
electronic,Britney Spears,2011,46,I Wanna Go
electronic,Britney Spears,2004,48,Toxic
electronic,Britney Spears,2000,55,Oops!... I Did It Again
electronic,Britney Spears,2011,60,Hold It Against Me
electronic,Britney Spears,2010,69,3
electronic,Britney Spears,2009,74,If U Seek Amy
electronic,Britney Spears,2008,80,Womanizer
electronic,Britney Spears,2008,83,Piece Of Me
electronic,Britney Spears,2009,87,3
electronic,Rihanna,2012,8,We Found Love
electronic,Rihanna,2008,16,Disturbia
electronic,Rihanna,2008,17,Don't Stop the Music
electronic,Rihanna,2012,21,Where Have You Been
electronic,Rihanna,2013,27,Diamonds
electronic,Rihanna,2011,40,Only Girl (In The World)
electronic,Rihanna,2010,47,Only Girl (In The World)
electronic,Rihanna,2011,69,We Found Love
electronic,Rihanna,2009,77,Disturbia
electronic,Rihanna,2012,89,You Da One
electronic,Rihanna,2012,94,Diamonds
electronic,Lady Gaga,2009,2,Poker Face
electronic,Lady Gaga,2009,3,Just Dance
electronic,Lady Gaga,2010,8,Bad Romance
electronic,Lady Gaga,2010,16,Telephone
electronic,Lady Gaga,2011,18,Born This Way
electronic,Lady Gaga,2011,29,The Edge Of Glory
electronic,Lady Gaga,2010,33,Alejandro
electronic,Lady Gaga,2009,35,Lovegame
electronic,Lady Gaga,2013,37,Applause
electronic,Lady Gaga,2009,53,Paparazzi
electronic,Lady Gaga,2010,64,Paparazzi
electronic,Duran Duran,1984,16,The Reflex
electronic,Duran Duran,1983,17,Hungry Like The Wolf
electronic,Duran Duran,1993,34,Ordinary World
electronic,Duran Duran,1985,35,A View To A Kill
electronic,Duran Duran,1985,36,The Wild Boys
electronic,Duran Duran,1993,41,Come Undone
electronic,Duran Duran,1984,43,Union Of The Snake
electronic,Duran Duran,1983,55,Is There Something I Should Know
electronic,Duran Duran,1989,62,I Don't Want Your Love
electronic,Duran Duran,1984,95,New Moon On Monday
electronic,Katy Perry,2011,3,Firework
electronic,Katy Perry,2008,14,I Kissed A Girl
electronic,Katy Perry,2011,14,Last Friday Night (T.G.I.F.)
electronic,Katy Perry,2012,15,Wide Awake
electronic,Katy Perry,2010,17,Teenage Dream
electronic,Katy Perry,2009,25,Hot n Cold
electronic,Katy Perry,2012,31,Part Of Me
electronic,Katy Perry,2008,36,Hot N Cold
electronic,Katy Perry,2011,75,Teenage Dream
electronic,Styx,1980,20,Babe
electronic,Styx,1983,28,Mr. Roboto
electronic,Styx,1981,54,Too Much Time On My Hands
electronic,Styx,1978,56,Come Sail Away
electronic,Styx,1975,60,Lady
electronic,Styx,1983,60,Don't Let It End
electronic,Styx,1979,67,Renegade
electronic,Styx,1991,68,Show Me The Way
electronic,'N Sync,2000,21,Bye Bye Bye
electronic,'N Sync,2000,27,It's Gonna Be Me
electronic,'N Sync,2002,33,Girlfriend
electronic,'N Sync,1998,37,I Want You Back
electronic,'N Sync,1999,45,(God Must Have Spent) A Little More Time On You
electronic,'N Sync,2001,51,This I Promise You
electronic,'N Sync,2002,75,Gone
electronic,Electric Light Orchestra,1977,15,Telephone Line
electronic,Electric Light Orchestra,1977,77,Livin' Thing
electronic,Electric Light Orchestra,1975,81,Can't Get It Out Of My Head
electronic,Electric Light Orchestra,1979,81,Don't Bring Me Down
electronic,Electric Light Orchestra,1978,86,Sweet Talking Woman
electronic,Electric Light Orchestra,1978,94,Turn To Stone
electronic,Flo Rida,2009,6,Right Round
electronic,Flo Rida,2012,11,Wild Ones
electronic,Flo Rida,2012,16,Good Feeling
electronic,Flo Rida,2010,40,Club Can't Handle Me
electronic,Flo Rida,2009,58,Sugar
electronic,Flo Rida,2013,64,I Cry
blues,Rod Stewart,1977,1,Tonight's The Night (Gonna Be Alright)
blues,Rod Stewart,1971,2,Maggie May / (Find A) Reason To Believe
blues,Rod Stewart,1993,32,Have I Told You Lately
blues,Rod Stewart,1978,37,You're In My Heart
blues,Rod Stewart,1990,37,Downtown Train
blues,Rod Stewart,1981,38,Passion
blues,Rod Stewart,1982,48,Young Turks
blues,Rod Stewart,1989,50,My Heart Can't Tell You No
blues,Rod Stewart,1984,58,Infatuation
blues,Rod Stewart,1986,82,Love Touch
blues,Rod Stewart,1993,90,Reason To Believe
blues,Rod Stewart,1991,99,The Motown Song
blues,Elvis Presley,1960,7,It's Now Or Never
blues,Elvis Presley,1960,9,Stuck On You
blues,Elvis Presley,1969,35,In The Ghetto
blues,Elvis Presley,1961,39,Little Sister
blues,Elvis Presley,1977,64,Way Down
blues,Elvis Presley,1963,69,(You're The) Devil In Disguise
blues,Elvis Presley,1961,71,(Marie's The Name) His Latest Flame
blues,Elvis Presley,1970,72,The Wonder Of You / Mama Liked The Roses
blues,Elvis Presley,1963,95,Bossa Nova Baby
blues,Elvis Presley,1961,96,Are You Lonesome Tonight
blues,Ray Charles,1962,2,I Can't Stop Loving You
blues,Ray Charles,1961,19,Hit The Road Jack
blues,Ray Charles,1966,52,Crying Time
blues,Ray Charles,1962,54,You Don't Know Me
blues,Ray Charles,1963,55,Busted
blues,Ray Charles,1961,60,One Mint Julep
blues,Ray Charles,1960,78,Georgia On My Mind
blues,Ray Charles,1967,80,Here We Go Again
blues,Ray Charles,1963,92,Take These Chains From My Heart
blues,Fleetwood Mac,1982,31,Hold Me
blues,Fleetwood Mac,1977,39,Dreams
blues,Fleetwood Mac,1987,51,Little Lies
blues,Fleetwood Mac,1977,52,Don't Stop
blues,Fleetwood Mac,1976,53,Say You Love Me
blues,Fleetwood Mac,1976,76,Rhiannon (Will You Ever Win)
blues,Fleetwood Mac,1980,87,Sara
blues,Fleetwood Mac,1977,94,Go Your Own Way
blues,Fleetwood Mac,1980,94,Tusk
blues,Huey Lewis and The News,1985,15,The Power Of Love
blues,Huey Lewis and The News,1986,21,Stuck With You
blues,Huey Lewis and The News,1987,41,Jacob's Ladder
blues,Huey Lewis and The News,1984,44,The Heart Of Rock 'N' Roll
blues,Huey Lewis and The News,1987,49,Hip To Be Square
blues,Huey Lewis and The News,1984,55,I Want A New Drug
blues,Huey Lewis and The News,1984,64,If This Is It
blues,Huey Lewis and The News,1988,64,Perfect World
blues,Huey Lewis and The News,1987,93,Doing It All For My Baby
blues,Eric Clapton,1992,6,Tears In Heaven
blues,Eric Clapton,1978,15,Lay Down Sally
blues,Eric Clapton,1996,19,Change The World
blues,Eric Clapton,1981,67,I Can't Stand It
blues,Eric Clapton,1997,67,Change The World
blues,Eric Clapton,1974,76,I Shot The Sheriff
blues,Eric Clapton,1979,82,Promises
blues,Eric Clapton,1983,94,I've Got A Rock 'N' Roll Heart
blues,Santana,2000,3,Maria Maria
blues,Santana,2003,27,The Game Of Love
blues,Santana,2003,53,Why Don't You And I
blues,Santana,1970,69,Evil Ways
blues,Santana,2004,75,Why Don't You and I
blues,Santana,1981,84,Winning
blues,Santana,2008,98,Into The Night
blues,Chicago,1985,37,You're The Inspiration
blues,Chicago,1984,45,Hard Habit To Break
blues,Chicago,1988,48,I Don't Wanna Live Without Your Love
blues,Chicago,1973,54,Feelin' Stronger Every Day
blues,Chicago,1974,72,(I've Been) Searchin' So Long
blues,Chicago,1972,76,Saturday In The Park
blues,Chicago,1974,98,Call On Me
blues,Creedence Clearwater Revival,1969,19,Proud Mary
blues,Creedence Clearwater Revival,1969,31,Green River
blues,Creedence Clearwater Revival,1970,36,Lookin' Out My Back Door / Long As I Can See The Light
blues,Creedence Clearwater Revival,1970,73,Up Around The Bend / Run Through The Jungle
blues,Creedence Clearwater Revival,1970,89,Travelin' Band / Who'll Stop The Rain
blues,Creedence Clearwater Revival,1968,97,Suzie Q.
blues,Roy Orbison,1961,4,Cryin'
blues,Roy Orbison,1961,13,Running Scared
blues,Roy Orbison,1963,46,Mean Woman Blues
blues,Roy Orbison,1963,59,In Dreams
blues,Roy Orbison,1962,65,Dream Baby
blues,Roy Orbison,1964,73,It's Over
folk,Neil Diamond,1970,17,Cracklin' Rose
folk,Neil Diamond,1969,22,Sweet Caroline
folk,Neil Diamond,1981,26,Love On The Rocks
folk,Neil Diamond,1981,62,America
folk,Neil Diamond,1981,70,Hello Again
folk,Neil Diamond,1966,75,"Cherry, Cherry"
folk,Neil Diamond,1982,77,Yesterday's Songs
folk,Neil Diamond,1967,86,"Girl, You'll Be A Woman Soon"
folk,Neil Diamond,1980,90,September Morn
folk,Neil Diamond,1971,91,I Am..I Said
folk,Bruce Springsteen,1984,14,Dancing In The Dark
folk,Bruce Springsteen,1981,49,Hungry Heart
folk,Bruce Springsteen,1994,54,Streets Of Philadelphia
folk,Bruce Springsteen,1984,67,Cover Me
folk,Bruce Springsteen,1985,67,Glory Days
folk,Bruce Springsteen,1997,77,Secret Garden
folk,Bruce Springsteen,1985,82,I'm On Fire
folk,Bruce Springsteen,1987,86,Brilliant Disguise
folk,Bruce Springsteen,1985,92,Born In The USA
folk,Billy Joel,1980,9,It's Still Rock And Roll To Me
folk,Billy Joel,1993,26,The River Of Dreams
folk,Billy Joel,1984,39,Uptown Girl
